,bri,car,fra,perm,por,x,y,label_kmeans,1st,ofm,label_pca,label_ofm
2416,0.383700358,35.89412724,3.933209205,49.00482712,6.29143881,,,3,0.582228219,32.3846179,0,0
2417,0.40454971,38.28664784,4.102922009,57.7856822,6.362922808,,,3,0.629333006,36.1188882,0,0
2418,0.418663658,40.18463831,4.219257988,60.95136744,6.439785592,,,3,0.658961492,37.98211138,0,0
2419,0.428271904,41.27976357,4.309084891,60.10082059,6.523200325,,,3,0.675723325,38.28673414,0,0
2420,0.434579364,41.95632962,4.382126725,57.32680172,6.606767585,,,3,0.685180129,37.82758592,0,0
2421,0.438352711,42.41312307,4.435298299,54.23701004,6.699616538,,,3,0.690750946,37.16725993,0,0
2422,0.440522748,42.79882246,4.483297965,54.7496993,6.793767627,,,3,0.7000373,37.51222009,0,0
2423,0.442253956,43.07483467,4.508727323,55.01232854,6.878449276,,,3,0.70639651,37.72874087,0,0
2424,0.441197132,43.34141744,4.52918624,54.69362881,6.982699268,,,3,0.710435064,37.77248747,0,0
2425,0.44451104,43.38021304,4.542956504,53.82196371,7.078189329,,,3,0.714644412,37.54388733,0,0
2426,0.447727503,43.78838104,4.548524101,57.23486293,7.173579414,,,3,0.725605685,38.7346387,0,0
2427,0.451624387,44.27910754,4.553376018,54.22186555,7.269844983,,,3,0.727892759,38.10945731,0,0
2428,0.454040406,44.86171876,4.55318543,47.28560166,7.36581301,,,3,0.723584199,36.39542002,0,0
2429,0.454635988,45.5495324,4.5483149,36.76590566,7.45242799,,,1,0.712821931,33.69702043,0,0
2430,0.453371514,46.29606521,4.542041793,26.6999192,7.519696211,,,1,0.701265803,31.15779925,0,0
2431,0.453186034,47.07940508,4.531088222,18.53911998,7.560760289,,,1,0.692174648,29.18620809,0,0
2432,0.452606173,47.86659762,4.522115348,12.74327785,7.581741663,,,1,0.685935868,27.89939073,0,0
2433,0.455474398,48.70533081,4.494660328,9.325642697,7.578074779,,,1,0.683222187,27.32333381,0,0
2434,0.45556977,49.51183878,4.463693884,8.024738791,7.558127824,,,1,0.681222995,27.34195041,0,0
2435,0.455061702,50.18865389,4.424119229,8.337945198,7.520487789,,,1,0.679684794,27.76176446,0,0
